Resume,Category
"Experienced Python developer with machine learning data analysis pandas numpy scikit learn and model deployment skills","Data Science"
"Data scientist skilled in Python statistics predictive modeling visualization tensorflow and natural language processing","Data Science"
"Machine learning engineer with feature engineering model evaluation deep learning and production ML pipeline experience","Data Science"
"AI specialist using classification regression clustering neural networks and data preprocessing for business insights","Data Science"
"Analytics professional with SQL dashboards Python notebooks experiment tracking and statistical model validation","Data Science"
"Java backend developer with Spring Boot REST APIs microservices SQL database and cloud deployment experience","Software Engineer"
"Software engineer experienced in Python JavaScript Git Docker API design testing and scalable application development","Software Engineer"
"Full stack developer with React Node.js database design authentication and agile software delivery experience","Software Engineer"
"Backend engineer building distributed services message queues unit tests CI CD and secure application architecture","Software Engineer"
"Frontend developer skilled in HTML CSS TypeScript React responsive UI testing and web performance optimization","Software Engineer"
"HR management professional with recruitment onboarding employee relations payroll policy and talent acquisition experience","HR"
"Human resources executive skilled in hiring screening interviews training compliance employee engagement and workforce planning","HR"
"Recruiter with experience sourcing candidates resume screening HR operations onboarding and performance management","HR"
"People operations specialist handling benefits employee records workplace policy grievance handling and retention programs","HR"
"Talent acquisition partner focused on job descriptions campus hiring applicant tracking interviews and offer negotiation","HR"
"Business analyst with requirement gathering stakeholder communication process mapping dashboards SQL and reporting experience","Business Analyst"
"Analyst experienced in business process improvement user stories documentation data interpretation and project coordination","Business Analyst"
"Business systems analyst translating client needs into functional specifications wireframes acceptance criteria and reports","Business Analyst"
"Product analyst using KPIs customer research workflow analysis market data and executive presentations for decisions","Business Analyst"
"Operations analyst improving processes through root cause analysis metrics documentation Excel SQL and stakeholder workshops","Business Analyst"
"Project manager skilled in sprint planning risk management budgeting client communication team leadership and delivery tracking","Project Manager"
"Certified project coordinator with agile scrum scheduling resource allocation progress reports and cross functional leadership","Project Manager"
"Program manager overseeing milestones dependencies vendors scope changes roadmap planning and delivery governance","Project Manager"
"Scrum master facilitating ceremonies backlog refinement impediment removal velocity tracking and release planning","Project Manager"
"Delivery manager managing timelines resources risks status reports client expectations and multi team execution","Project Manager"
